Country Name,total,male,female
Monaco,86.895,85.055,88.881
Macau,85.377,82.753,87.98
Japan,84.82,81.782,87.832
Liechtenstein,84.656,83.019,86.129
Hong Kong,84.315,81.754,86.893
Switzerland,84.255,82.484,85.932
Singapore,84.133,81.981,86.295
Italy,84.057,81.974,86.0
Vatican City,84.035,82.002,85.929
South Korea,84.024,80.695,87.101
Spain,83.912,81.2,86.549
Malta,83.704,81.644,85.703
Australia,83.579,81.708,85.453
Andorra,83.552,81.43,85.838
French Polynesia,83.55,81.329,85.977
Sweden,83.505,81.902,85.092
San Marino,83.433,82.036,84.733
Norway,83.393,81.718,85.055
Martinique,83.305,80.275,85.966
France,83.229,80.356,85.967
New Zealand,83.006,81.251,84.726
Canada,82.847,80.868,84.797
Gibraltar,82.83,80.93,84.691
Iceland,82.815,81.382,84.288
Guernsey,82.782,81.103,84.418
Ireland,82.716,81.017,84.412
Reunion,82.612,79.739,85.4
Israel,82.601,80.625,84.508
Luxembourg,82.591,80.445,84.77
Netherlands,82.451,80.944,83.904
Austria,82.412,80.15,84.6
Finland,82.351,79.792,84.886
Belgium,82.293,80.16,84.367
Portugal,82.24,79.308,84.93
United Kingdom,82.156,80.439,83.834
Slovenia,82.133,79.626,84.616
Cyprus,81.889,80.068,83.673
Denmark,81.882,79.958,83.802
Bermuda,81.571,78.435,84.507
Qatar,81.559,80.626,83.101
Taiwan,81.267,78.128,84.539
New Caledonia,80.998,77.525,84.612
Germany,80.989,78.512,83.487
Jersey,80.898,78.61,83.191
Maldives,80.839,80.065,81.844
Guadeloupe,80.799,77.251,83.896
Isle of Man,80.762,78.833,82.732
Saint Barthelemy,80.643,77.595,83.733
Greece,80.614,78.022,83.317
Saint Martin,80.55,77.502,83.658
Kuwait,80.264,78.878,82.752
Wallis and Futuna,80.015,79.031,80.99
Puerto Rico,79.72,75.578,83.897
Thailand,79.68,75.473,83.929
Chile,79.519,77.156,81.877
Bahrain,79.246,78.242,80.497
Falkland Islands,79.243,77.358,81.236
Croatia,79.236,76.415,82.0
Antigua and Barbuda,79.236,76.507,81.645
United Arab Emirates,79.196,77.72,81.412
Estonia,79.155,74.983,82.987
Faroe Islands,78.897,77.312,80.701
China,78.587,75.963,81.343
Turkey,78.475,75.38,81.495
Guam,78.33,74.838,82.046
United States,78.203,75.479,81.015
Cuba,78.155,75.793,80.565
Czech Republic,78.129,75.106,81.22
Uruguay,78.0,74.147,81.685
Saudi Arabia,77.905,76.666,79.525
Ecuador,77.894,75.313,80.481
Barbados,77.706,75.677,79.581
Saint Pierre and Miquelon,77.608,74.008,81.693
Northern Mariana Islands,77.471,75.863,79.459
French Guiana,77.452,74.763,80.32
Anguilla,77.442,74.136,81.156
Costa Rica,77.32,74.762,80.036
Algeria,77.129,75.853,78.457
Poland,76.996,73.233,80.796
Montenegro,76.845,73.48,80.262
Albania,76.833,74.502,79.472
Panama,76.826,73.726,80.091
Curacao,76.651,72.698,80.277
Sri Lanka,76.61,72.851,80.23
British Virgin Islands,76.373,73.622,79.256
Malaysia,76.26,73.955,78.799
Argentina,76.064,72.851,79.277
Latvia,75.927,71.49,80.088
Montserrat,75.849,74.52,77.541
Cayman Islands,75.555,73.234,78.124
Tokelau,75.38,74.424,76.198
Grenada,75.335,72.588,78.298
Slovakia,75.33,71.929,78.813
Bosnia and Herzegovina,75.293,73.126,77.498
Cook Islands,75.148,71.445,79.035
United States Virgin Islands,75.066,69.831,80.866
Mayotte,75.049,71.861,78.522
Aruba,74.992,72.145,77.681
Morocco,74.973,72.896,77.177
Hungary,74.958,71.552,78.309
Turks and Caicos Islands,74.925,72.165,77.986
Mexico,74.832,71.547,78.161
Cape Verde,74.722,70.29,79.011
Trinidad and Tobago,74.708,71.307,78.153
Nicaragua,74.615,71.613,77.556
Vietnam,74.58,69.927,79.29
Iran,74.556,71.93,77.453
Brunei,74.551,72.509,76.791
Lebanon,74.416,72.237,76.597
Sint Maarten,74.409,71.958,77.141
Bahamas,74.358,70.757,77.843
Lithuania,74.293,69.492,79.13
Tunisia,74.263,71.367,77.408
Jordan,74.215,72.12,76.675
Dominican Republic,74.17,71.044,77.536
Serbia,74.137,71.276,76.975
Romania,74.117,70.724,77.619
Mauritius,73.975,70.963,77.128
Oman,73.935,72.356,76.046
North Macedonia,73.888,71.733,76.16
Bangladesh,73.698,71.514,76.012
Colombia,73.659,70.319,77.143
North Korea,73.578,70.973,76.146
Azerbaijan,73.488,70.55,76.249
Palestine,73.444,71.024,75.948
Brazil,73.425,70.296,76.596
Peru,73.385,71.332,75.495
Armenia,73.372,67.866,78.447
Belarus,73.246,68.09,78.384
Dominica,72.981,69.875,76.451
American Samoa,72.723,70.004,75.541
Mongolia,72.667,68.079,77.375
Samoa,72.598,70.146,75.333
Greenland,72.582,70.117,75.95
Syria,72.3,68.671,76.117
Bhutan,72.229,70.57,74.152
Philippines,72.187,70.218,74.174
Libya,72.151,69.736,74.759
Saint Kitts and Nevis,72.027,68.682,75.666
Seychelles,71.738,68.237,76.042
Uzbekistan,71.674,69.032,74.293
Georgia,71.587,66.76,76.461
Bulgaria,71.528,68.278,75.08
El Salvador,71.475,66.837,75.813
Iraq,71.336,69.162,73.362
Saint Lucia,71.294,68.005,74.887
Tajikistan,71.288,69.189,73.518
Tonga,71.27,68.581,74.123
Niue,71.189,69.451,72.868
Venezuela,71.105,66.875,75.655
Western Sahara,70.976,69.319,73.097
Belize,70.962,67.721,74.685
Micronesia,70.925,67.325,74.823
Solomon Islands,70.742,69.294,72.358
Honduras,70.728,68.461,73.157
Jamaica,70.629,68.532,72.737
Vanuatu,70.492,68.316,73.067
Nepal,70.484,68.608,72.364
Kyrgyzstan,70.484,66.218,74.929
Paraguay,70.475,67.645,73.571
Egypt,70.159,67.869,72.557
Russia,70.116,64.689,75.702
Cambodia,69.896,67.117,72.622
Kazakhstan,69.489,65.776,72.995
Turkmenistan,69.41,65.916,72.916
Timor-Leste,69.056,67.435,70.815
Laos,68.999,66.94,71.164
Saint Vincent and the Grenadines,68.972,66.693,71.731
Sao Tome and Principe,68.794,66.054,71.938
Guatemala,68.674,65.697,71.754
Moldova,68.621,64.217,73.32
Ukraine,68.564,63.525,73.904
Fiji,68.312,66.465,70.239
Indonesia,68.25,66.181,70.437
Senegal,67.913,65.473,70.2
India,67.744,66.257,69.384
Kiribati,67.661,65.731,69.386
Myanmar,67.256,64.18,70.478
Rwanda,67.129,64.813,69.244
Tanzania,66.782,64.72,68.93
Eritrea,66.604,64.457,68.678
Pakistan,66.431,64.134,68.918
Guyana,65.989,62.778,69.399
Papua New Guinea,65.958,63.378,69.172
Botswana,65.913,63.328,68.399
Gabon,65.694,63.361,68.359
Ethiopia,65.645,62.613,68.903
Sudan,65.578,63.048,68.184
Palau,65.362,62.2,69.314
Madagascar,65.23,62.97,67.617
Marshall Islands,65.146,63.546,67.092
Bolivia,64.928,62.265,67.907
Tuvalu,64.854,61.136,69.391
Mauritania,64.691,62.965,66.447
Nauru,64.014,60.52,67.841
Ghana,63.945,61.805,66.13
Haiti,63.728,60.892,66.695
Yemen,63.72,60.493,67.222
Comoros,63.68,61.522,66.061
Uganda,63.638,61.486,65.703
Republic of the Congo,63.053,61.513,64.617
Gambia,62.906,61.481,64.344
Malawi,62.898,59.58,66.326
Afghanistan,62.879,59.766,66.213
Djibouti,62.859,60.336,65.503
Niger,62.08,60.816,63.401
Kenya,62.055,59.579,64.686
Burundi,61.977,60.077,63.868
Angola,61.929,59.351,64.541
Zambia,61.803,59.058,64.51
Togo,61.588,60.946,62.227
South Africa,61.48,58.597,64.181
Equatorial Guinea,61.19,59.432,63.261
Liberia,61.1,59.796,62.392
Cameroon,60.958,59.392,62.556
Sierra Leone,60.411,59.115,61.693
Benin,59.954,58.265,61.676
Guinea-Bissau,59.861,57.671,61.929
Burkina Faso,59.766,57.953,61.505
DR Congo,59.743,57.516,62.05
Mozambique,59.625,56.529,62.688
Mali,59.417,58.068,60.832
Zimbabwe,59.391,56.428,62.094
Guinea,58.985,57.643,60.238
Ivory Coast,58.916,57.686,60.282
Namibia,58.059,54.592,61.704
Eswatini,56.36,52.647,60.599
Somalia,56.107,54.072,58.233
South Sudan,55.567,54.036,57.047
Central African Republic,54.477,52.258,56.829
Nigeria,53.633,53.295,53.968
Lesotho,53.036,50.319,55.923
Chad,52.997,51.3,54.769
