Country Name,Population22,pollution,total
Bangladesh,171186372,83,73
Pakistan,235824862,65,66
Mongolia,3398366,3,72
Afghanistan,41128771,58,62
India,1417173173,58,67
Indonesia,275501339,6,68
Bahrain,1472233,46,79
Nepal,30547580,44,70
Uzbekistan,34627652,41,71
Iraq,44496122,39,71
China,1425887337,11,78
United Arab Emirates,9441129,38,79
Kuwait,4268873,38,80
Bosnia and Herzegovina,3233526,14,75
Vietnam,98186856,15,74
Kyrgyzstan,6630623,33,70
North Macedonia,2093599,17,73
Syria,22125249,32,72
DR Congo,99010212,32,59
Myanmar,54179306,20,67
Ghana,33475870,30,63
Uganda,47249585,29,63
Armenia,2780469,23,73
Bulgaria,6781953,24,71
Sri Lanka,21832143,25,76
South Korea,51815810,26,84
Iran,88550570,24,74
Thailand,71697030,28,79
Kazakhstan,19397998,29,69
Macau,695168,30,85
Peru,34049588,23,73
Serbia,7221365,32,74
Laos,7529475,33,68
Chile,19603733,22,79
Saudi Arabia,36408820,22,77
Greece,10384971,36,80
South Africa,59893885,21,61
Nigeria,218541212,21,53
Algeria,44903225,39,77
Cambodia,16767842,40,69
Israel,9038309,20,82
Turkey,85341241,20,78
Hong Kong,7488865,43,84
Guatemala,17843908,20,68
Ethiopia,123379924,20,65
Georgia,3744385,46,71
Mexico,127504125,20,74
Cyprus,1251488,19,81
Malaysia,33938221,49,76
Croatia,4030358,50,79
Singapore,5975689,51,84
Poland,39857145,52,76
Romania,19659267,53,74
Jordan,11285869,18,74
Egypt,110990103,18,70
Philippines,115559009,56,72
Taiwan,23893394,57,81
Italy,59037474,58,84
Ukraine,39701739,59,68
Slovakia,5643453,60,75
Angola,35588987,15,61
Brazil,215313498,15,73
Colombia,51874024,14,73
Argentina,45510318,14,76
Hungary,9967308,65,74
Lithuania,2750055,66,74
Czech Republic,10493986,67,78
Latvia,1850651,68,75
Belgium,11655930,69,82
France,64626628,70,83
Austria,8939617,71,82
Japan,123951692,72,84
Germany,83369843,73,80
Netherlands,17564014,74,82
Switzerland,8740472,75,84
Ireland,5023109,76,82
United Kingdom,67508936,77,82
Costa Rica,5180829,10,77
Puerto Rico,3252407,79,79
Russia,144713314,80,70
Spain,47558630,81,83
Denmark,5882261,82,81
Luxembourg,647599,83,82
Malta,533286,84,83
Portugal,10270865,85,82
Ecuador,18001000,8,77
Australia,26177413,88,83
Canada,38454327,89,82
New Zealand,5185288,90,83
Norway,5434319,91,83
Sweden,10549347,92,83
Estonia,1326062,93,79
Finland,5540745,94,82
Iceland,372899,95,82
Bahamas,409984,96,74
